id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id2793718,2,2016-06-08 07:36:19,2016-06-08 07:53:39,1,-73.98561096191406,40.735942840576165,-73.98033142089844,40.76046752929688,N,1040
id3485529,2,2016-04-03 12:58:11,2016-04-03 13:11:58,1,-73.9783935546875,40.76435089111328,-73.99162292480467,40.749858856201165,N,827
id1816614,2,2016-06-05 02:49:13,2016-06-05 02:59:27,5,-73.98905944824217,40.744388580322266,-73.97338104248048,40.74869155883789,N,614
id1050851,2,2016-05-05 17:18:27,2016-05-05 17:32:54,2,-73.99032592773438,40.73113632202149,-73.99126434326173,40.74891662597656,N,867
id0140657,1,2016-05-12 17:43:38,2016-05-12 19:06:25,4,-73.78949737548828,40.64667510986328,-73.9871368408203,40.759231567382805,N,4967
id2734699,2,2016-04-14 12:17:42,2016-04-14 12:23:56,3,-73.96983337402342,40.768569946289055,-73.962646484375,40.767181396484375,N,374
id2151697,2,2016-03-17 21:10:43,2016-03-17 21:31:35,1,-73.98841857910156,40.76000595092773,-73.98052978515625,40.78289031982422,N,1252
id3635863,1,2016-02-05 06:43:21,2016-02-05 06:45:49,1,-73.98785400390625,40.74969482421875,-73.98539733886719,40.75593185424805,N,148
id2169697,2,2016-03-22 14:08:02,2016-03-22 14:33:01,1,-73.95501708984375,40.764461517333984,-73.99681091308595,40.71656036376953,N,1499
id2225613,1,2016-03-29 23:32:47,2016-03-29 23:49:44,1,-73.9715347290039,40.79482650756836,-73.93170928955078,40.858222961425774,N,1017
id1421171,2,2016-06-13 22:40:11,2016-06-13 22:56:09,6,-74.01451873779298,40.71452331542969,-73.9789810180664,40.74044036865234,N,958
id2184050,1,2016-02-02 08:10:25,2016-02-02 08:14:15,1,-73.97945404052734,40.74713516235352,-73.9754867553711,40.754497528076165,N,230
id0088775,2,2016-04-14 18:29:44,2016-04-14 19:19:15,1,-73.77666473388672,40.64543151855469,-73.9681625366211,40.75481033325195,N,2971
id2753255,1,2016-02-21 02:02:26,2016-02-21 02:19:33,3,-74.00690460205078,40.743701934814446,-73.98828887939453,40.723411560058594,N,1027
id0094298,1,2016-04-18 20:45:20,2016-04-18 20:54:59,1,-73.96757507324217,40.7881965637207,-73.98274993896483,40.763328552246094,N,579
id3555558,1,2016-02-14 08:32:03,2016-02-14 08:34:23,3,-73.99352264404298,40.75626373291016,-74.00042724609375,40.75846862792969,N,140
id2376644,2,2016-05-16 16:24:41,2016-05-16 17:47:07,1,-73.96665954589844,40.762977600097656,-73.79051208496092,40.64407730102539,N,4946
id1230554,1,2016-03-12 19:13:40,2016-03-12 19:33:07,1,-74.00302124023438,40.73118209838867,-73.989013671875,40.71902084350586,Y,1167
id3608580,1,2016-03-14 10:19:47,2016-03-14 10:35:40,1,-73.98856353759764,40.74526977539063,-73.97714233398438,40.76401519775391,N,953
id0089807,2,2016-06-17 00:54:50,2016-06-17 01:11:34,1,-73.95790100097656,40.71453857421875,-73.9757308959961,40.666061401367195,N,1004
id0742428,1,2016-06-05 16:07:32,2016-06-05 16:25:59,3,-73.99146270751953,40.74928665161133,-73.99205017089844,40.73117065429688,N,1107
id0874642,2,2016-06-10 01:45:44,2016-06-10 02:14:52,1,-73.97586822509764,40.74649810791016,-73.69999694824217,40.795989990234375,N,1748
id2388884,1,2016-05-09 12:04:48,2016-05-09 12:12:38,1,-73.9768295288086,40.785301208496094,-73.96292877197266,40.80934524536133,N,470
id0082086,1,2016-04-29 11:55:30,2016-04-29 12:16:38,1,-73.98236846923827,40.77215576171875,-73.98416137695312,40.74674987792969,N,1268
id0665477,1,2016-01-03 15:00:21,2016-01-03 15:23:14,1,-74.00294494628906,40.73340606689453,-73.97977447509764,40.785640716552734,N,1373
id1425762,2,2016-04-12 20:36:27,2016-04-12 20:48:09,2,-74.00109100341797,40.72909164428711,-73.98487854003906,40.74813079833984,N,702
id0579956,1,2016-04-12 13:37:20,2016-04-12 14:00:57,2,-73.96590423583984,40.790351867675774,-73.9785614013672,40.7563362121582,N,1417
id2479944,1,2016-06-13 16:40:01,2016-06-13 17:06:59,1,-73.98271179199219,40.75816345214844,-73.9875717163086,40.7605857849121,N,1618
id0951848,2,2016-06-24 22:41:30,2016-06-24 22:53:06,1,-73.9834442138672,40.75542831420898,-73.97527313232422,40.7519416809082,N,696
